Q72HS8	UniProtKB-ID	ACCA_THET2
Q72HS8	GI	46197336
Q72HS8	GI	46199710
Q72HS8	GI	81405527
Q72HS8	UniRef100	UniRef100_Q72HS8
Q72HS8	UniRef90	UniRef90_Q72HS8
Q72HS8	UniRef50	UniRef50_Q31C00
Q72HS8	UniParc	UPI0000352551
Q72HS8	EMBL	AE017221
Q72HS8	EMBL-CDS	AAS81750.1
Q72HS8	RefSeq	YP_005377.1
Q72HS8	RefSeq_NT	NC_005835.1
Q72HS8	GeneID	2775468
Q72HS8	GenomeReviews	AE017221_GR
Q72HS8	eggNOG	COG0825
Q72HS8	HOGENOM	HBG286557
Q72HS8	OMA	QLTKDIY
Q72HS8	ProtClustDB	PRK05724
Q72HS8	BioCyc	TTHE262724:TT_C1408-MONOMER
Q5SHG3	UniProtKB-ID	ACCA_THET8
Q5SHG3	GI	55773149
Q5SHG3	GI	81363787
Q5SHG3	GI	55981736
Q5SHG3	UniRef100	UniRef100_Q5SHG3
Q5SHG3	UniRef90	UniRef90_Q5SHG3
Q5SHG3	UniRef50	UniRef50_Q2P4C1
Q5SHG3	UniParc	UPI00001A45B6
Q5SHG3	EMBL	AP008226
Q5SHG3	EMBL-CDS	BAD71590.1
Q5SHG3	RefSeq	YP_145033.1
Q5SHG3	RefSeq_NT	NC_006461.1
Q5SHG3	GeneID	3168755
Q5SHG3	GenomeReviews	AP008226_GR
Q5SHG3	KEGG	ttj:TTHA1767
Q5SHG3	NMPDR	fig|300852.3.peg.1039
Q5SHG3	eggNOG	COG0825
Q5SHG3	HOGENOM	HBG286557
Q5SHG3	OMA	QLTKDIY
Q5SHG3	ProtClustDB	PRK05724
Q5SHG3	BioCyc	TTHE300852:TTHA1767-MONOMER
Q72HS7	UniProtKB-ID	ACCD_THET2
Q72HS7	GI	81567615
Q72HS7	GI	46197337
Q72HS7	GI	46199711
Q72HS7	UniRef100	UniRef100_Q72HS7
Q72HS7	UniRef90	UniRef90_Q72HS7
Q72HS7	UniRef50	UniRef50_Q72HS7
Q72HS7	UniParc	UPI0000352552
Q72HS7	EMBL	AE017221
Q72HS7	EMBL-CDS	AAS81751.1
Q72HS7	RefSeq	YP_005378.1
Q72HS7	RefSeq_NT	NC_005835.1
Q72HS7	GeneID	2774662
Q72HS7	GenomeReviews	AE017221_GR
Q72HS7	eggNOG	COG0777
Q72HS7	HOGENOM	HBG285696
Q72HS7	OMA	LEHGMVD
Q72HS7	ProtClustDB	CLSK444937
Q72HS7	BioCyc	TTHE262724:TT_C1409-MONOMER
